Company,City,State,Industry,
21st Century Fox, New York, NY, Media & Entertainment,
3M Company, Saint Paul, MN, Manufacturing,
A. O. Smith, Milwaukee, WI, Manufacturing,
A. Schulman Inc., Fairlawn, OH, Manufacturing,
Groupon , Chicago, IL, Advertising,
Interpublic Group , New York, NY, Advertising,
Omnicom Group , New York, NY, Advertising,
AAR , Wood Dale, IL, Aerospace and Defense,
B/E Aerospace , Wellington, FL, Aerospace and Defense,
Benchmark Electronics , Angleton, TX, Aerospace and Defense,
Boeing , Chicago, IL, Aerospace and Defense,
Curtiss-Wright , Charlotte, NC, Aerospace and Defense,
Dyn Corp International , Mc Lean, VA, Aerospace and Defense,
Esterline Technologies , Bellevue, WA, Aerospace and Defense,
Exelis , Mc Lean, VA, Aerospace and Defense,
General Dynamics , Falls Church, VA, Aerospace and Defense,
Honeywell International , Morristown, NJ, Aerospace and Defense,
ITT , West Harrison, NY, Aerospace and Defense,
L-3 Communications , New York, NY, Aerospace and Defense,
Lockheed Martin , Bethesda, MD, Aerospace and Defense,
Moog, East Aurora, NY, Aerospace and Defense,
Northrop Grumman , Falls Church, VA, Aerospace and Defense,
Orbital ATK , Sterling, VA, Aerospace and Defense,
Rexnord, Milwaukee, WI, Aerospace and Defense,
Rockwell Collins , Cedar Rapids, IA, Aerospace and Defense,
Sunpower , Athens, OH, Aerospace and Defense,
Teledyne Technologies, Thousand Oaks, CA, Aerospace and Defense,
Textron Systems, Wilmington, MA, Aerospace and Defense,
TransDigm Group , Cleveland, OH, Aerospace and Defense,
Triumph Group , Berwyn, PA, Aerospace and Defense,
United Technologies , Hartford, CT, Aerospace and Defense,
Woodward , Fort Collins, CO, Aerospace and Defense,
Textron , Providence, RI, Aerospace and Defense ,
CF Industries , Deerfield, IL, Agriculture & Mining,
CHS , Inver Grove Heights, MN, Agriculture & Mining,
Monsanto, Saint Louis, MO, Agriculture & Mining,
Alliance One International , Morrisville, NC, Agriculture & Mining,
Archer Daniels Midland , Chicago, IL, Agriculture & Mining,
W.R. Grace & Co., Columbia, MD, Agriculture & Mining,
Alliance Holdings , Tulsa, OK, Agriculture & Mining,
Alpha Natural Resources, Abingdon, VA, Agriculture & Mining,
Cliffs Natural Resources , Cleveland, OH, Agriculture & Mining,
Concho Resources , Midland, TX, Agriculture & Mining,
Freeport-McMoRan Copper & Gold , Phoenix, AZ, Agriculture & Mining,
Granite Construction, Watsonville, CA, Agriculture & Mining,
